itemid,datasetid,hasbird,item_dir
72219,ff1010bird,0,Data/72219.wav
38283,ff1010bird,1,Data/38283.wav
64195,ff1010bird,0,Data/64195.wav
17915,ff1010bird,0,Data/17915.wav
52045,ff1010bird,1,Data/52045.wav
186363,ff1010bird,0,Data/186363.wav
32536,ff1010bird,1,Data/32536.wav
173895,ff1010bird,0,Data/173895.wav
168895,ff1010bird,0,Data/168895.wav
176049,ff1010bird,0,Data/176049.wav
100278,ff1010bird,0,Data/100278.wav
178826,ff1010bird,0,Data/178826.wav
79703,ff1010bird,0,Data/79703.wav
34094,ff1010bird,0,Data/34094.wav
17861,ff1010bird,1,Data/17861.wav
103557,ff1010bird,0,Data/103557.wav
110917,ff1010bird,1,Data/110917.wav
35212,ff1010bird,1,Data/35212.wav
150946,ff1010bird,0,Data/150946.wav
150854,ff1010bird,1,Data/150854.wav
50062,ff1010bird,0,Data/50062.wav
86934,ff1010bird,0,Data/86934.wav
126389,ff1010bird,1,Data/126389.wav
87614,ff1010bird,0,Data/87614.wav
34329,ff1010bird,0,Data/34329.wav
60033,ff1010bird,0,Data/60033.wav
69102,ff1010bird,1,Data/69102.wav
82933,ff1010bird,0,Data/82933.wav
61579,ff1010bird,0,Data/61579.wav
132175,ff1010bird,0,Data/132175.wav
69873,ff1010bird,0,Data/69873.wav
104429,ff1010bird,1,Data/104429.wav
33695,ff1010bird,0,Data/33695.wav
31816,ff1010bird,1,Data/31816.wav
44223,ff1010bird,0,Data/44223.wav
371,ff1010bird,0,Data/371.wav
75248,ff1010bird,0,Data/75248.wav
15849,ff1010bird,1,Data/15849.wav
20067,ff1010bird,0,Data/20067.wav
35038,ff1010bird,0,Data/35038.wav
191920,ff1010bird,0,Data/191920.wav
75628,ff1010bird,0,Data/75628.wav
86639,ff1010bird,0,Data/86639.wav
128712,ff1010bird,0,Data/128712.wav
166479,ff1010bird,1,Data/166479.wav
75071,ff1010bird,0,Data/75071.wav
78784,ff1010bird,1,Data/78784.wav
95714,ff1010bird,1,Data/95714.wav
74462,ff1010bird,0,Data/74462.wav
