itemid,datasetid,hasbird,item_dir
168088,ff1010bird,0,Data/168088.wav
38580,ff1010bird,0,Data/38580.wav
106491,ff1010bird,0,Data/106491.wav
127286,ff1010bird,1,Data/127286.wav
107523,ff1010bird,0,Data/107523.wav
76287,ff1010bird,0,Data/76287.wav
51681,ff1010bird,0,Data/51681.wav
154735,ff1010bird,0,Data/154735.wav
151777,ff1010bird,0,Data/151777.wav
62278,ff1010bird,0,Data/62278.wav
189855,ff1010bird,1,Data/189855.wav
92826,ff1010bird,0,Data/92826.wav
95015,ff1010bird,1,Data/95015.wav
155217,ff1010bird,0,Data/155217.wav
51728,ff1010bird,0,Data/51728.wav
127838,ff1010bird,0,Data/127838.wav
44206,ff1010bird,0,Data/44206.wav
174880,ff1010bird,0,Data/174880.wav
155285,ff1010bird,0,Data/155285.wav
104014,ff1010bird,1,Data/104014.wav
176281,ff1010bird,1,Data/176281.wav
42216,ff1010bird,0,Data/42216.wav
56519,ff1010bird,0,Data/56519.wav
62932,ff1010bird,0,Data/62932.wav
56301,ff1010bird,1,Data/56301.wav
86941,ff1010bird,0,Data/86941.wav
160567,ff1010bird,0,Data/160567.wav
169603,ff1010bird,0,Data/169603.wav
39659,ff1010bird,0,Data/39659.wav
162744,ff1010bird,1,Data/162744.wav
54194,ff1010bird,0,Data/54194.wav
150865,ff1010bird,1,Data/150865.wav
154921,ff1010bird,1,Data/154921.wav
169316,ff1010bird,0,Data/169316.wav
187701,ff1010bird,1,Data/187701.wav
66643,ff1010bird,0,Data/66643.wav
62276,ff1010bird,1,Data/62276.wav
55119,ff1010bird,0,Data/55119.wav
56371,ff1010bird,0,Data/56371.wav
93665,ff1010bird,0,Data/93665.wav
194372,ff1010bird,0,Data/194372.wav
39496,ff1010bird,0,Data/39496.wav
170470,ff1010bird,0,Data/170470.wav
158612,ff1010bird,0,Data/158612.wav
67833,ff1010bird,0,Data/67833.wav
172166,ff1010bird,1,Data/172166.wav
174237,ff1010bird,0,Data/174237.wav
162695,ff1010bird,0,Data/162695.wav
97587,ff1010bird,1,Data/97587.wav
126340,ff1010bird,0,Data/126340.wav
71333,ff1010bird,1,Data/71333.wav
184214,ff1010bird,1,Data/184214.wav
86969,ff1010bird,0,Data/86969.wav
160517,ff1010bird,0,Data/160517.wav
78792,ff1010bird,1,Data/78792.wav
36344,ff1010bird,1,Data/36344.wav
65746,ff1010bird,1,Data/65746.wav
91134,ff1010bird,0,Data/91134.wav
86972,ff1010bird,0,Data/86972.wav
194705,ff1010bird,0,Data/194705.wav
127514,ff1010bird,0,Data/127514.wav
50061,ff1010bird,0,Data/50061.wav
46850,ff1010bird,0,Data/46850.wav
145482,ff1010bird,0,Data/145482.wav
52777,ff1010bird,0,Data/52777.wav
38288,ff1010bird,0,Data/38288.wav
72269,ff1010bird,0,Data/72269.wav
45986,ff1010bird,0,Data/45986.wav
186423,ff1010bird,0,Data/186423.wav
1053,ff1010bird,0,Data/1053.wav
16837,ff1010bird,0,Data/16837.wav
76272,ff1010bird,0,Data/76272.wav
177645,ff1010bird,0,Data/177645.wav
169637,ff1010bird,0,Data/169637.wav
145556,ff1010bird,1,Data/145556.wav
39375,ff1010bird,1,Data/39375.wav
195462,ff1010bird,1,Data/195462.wav
70306,ff1010bird,1,Data/70306.wav
64335,ff1010bird,0,Data/64335.wav
38886,ff1010bird,0,Data/38886.wav
66012,ff1010bird,0,Data/66012.wav
47051,ff1010bird,1,Data/47051.wav
125821,ff1010bird,0,Data/125821.wav
63967,ff1010bird,1,Data/63967.wav
54805,ff1010bird,1,Data/54805.wav
49807,ff1010bird,1,Data/49807.wav
51413,ff1010bird,0,Data/51413.wav
127796,ff1010bird,0,Data/127796.wav
79088,ff1010bird,0,Data/79088.wav
160523,ff1010bird,0,Data/160523.wav
32834,ff1010bird,0,Data/32834.wav
31256,ff1010bird,0,Data/31256.wav
156044,ff1010bird,0,Data/156044.wav
94827,ff1010bird,0,Data/94827.wav
63583,ff1010bird,0,Data/63583.wav
108762,ff1010bird,1,Data/108762.wav
173901,ff1010bird,0,Data/173901.wav
132049,ff1010bird,0,Data/132049.wav
190970,ff1010bird,0,Data/190970.wav
82270,ff1010bird,0,Data/82270.wav
100275,ff1010bird,0,Data/100275.wav
24003,ff1010bird,0,Data/24003.wav
155639,ff1010bird,0,Data/155639.wav
38304,ff1010bird,1,Data/38304.wav
54858,ff1010bird,0,Data/54858.wav
96181,ff1010bird,0,Data/96181.wav
33196,ff1010bird,1,Data/33196.wav
122766,ff1010bird,1,Data/122766.wav
74319,ff1010bird,1,Data/74319.wav
82539,ff1010bird,1,Data/82539.wav
157910,ff1010bird,0,Data/157910.wav
31884,ff1010bird,0,Data/31884.wav
74383,ff1010bird,0,Data/74383.wav
66104,ff1010bird,0,Data/66104.wav
73126,ff1010bird,0,Data/73126.wav
147927,ff1010bird,0,Data/147927.wav
97590,ff1010bird,1,Data/97590.wav
91752,ff1010bird,1,Data/91752.wav
148878,ff1010bird,1,Data/148878.wav
164053,ff1010bird,0,Data/164053.wav
74480,ff1010bird,0,Data/74480.wav
189868,ff1010bird,1,Data/189868.wav
121764,ff1010bird,1,Data/121764.wav
70956,ff1010bird,0,Data/70956.wav
22327,ff1010bird,1,Data/22327.wav
83986,ff1010bird,0,Data/83986.wav
52857,ff1010bird,1,Data/52857.wav
98735,ff1010bird,0,Data/98735.wav
165340,ff1010bird,0,Data/165340.wav
73104,ff1010bird,0,Data/73104.wav
58556,ff1010bird,1,Data/58556.wav
184950,ff1010bird,0,Data/184950.wav
114621,ff1010bird,1,Data/114621.wav
39011,ff1010bird,0,Data/39011.wav
161871,ff1010bird,1,Data/161871.wav
62310,ff1010bird,0,Data/62310.wav
187586,ff1010bird,0,Data/187586.wav
105083,ff1010bird,0,Data/105083.wav
95819,ff1010bird,1,Data/95819.wav
58267,ff1010bird,0,Data/58267.wav
23063,ff1010bird,0,Data/23063.wav
140846,ff1010bird,0,Data/140846.wav
187131,ff1010bird,0,Data/187131.wav
190682,ff1010bird,0,Data/190682.wav
127234,ff1010bird,0,Data/127234.wav
57048,ff1010bird,0,Data/57048.wav
47704,ff1010bird,0,Data/47704.wav
127620,ff1010bird,0,Data/127620.wav
137958,ff1010bird,0,Data/137958.wav
69870,ff1010bird,0,Data/69870.wav
144076,ff1010bird,0,Data/144076.wav
77656,ff1010bird,0,Data/77656.wav
181401,ff1010bird,0,Data/181401.wav
189853,ff1010bird,1,Data/189853.wav
55729,ff1010bird,0,Data/55729.wav
117150,ff1010bird,0,Data/117150.wav
58237,ff1010bird,1,Data/58237.wav
131485,ff1010bird,0,Data/131485.wav
46351,ff1010bird,0,Data/46351.wav
94796,ff1010bird,1,Data/94796.wav
160012,ff1010bird,0,Data/160012.wav
171040,ff1010bird,0,Data/171040.wav
113330,ff1010bird,0,Data/113330.wav
156665,ff1010bird,1,Data/156665.wav
37739,ff1010bird,1,Data/37739.wav
162648,ff1010bird,1,Data/162648.wav
127172,ff1010bird,0,Data/127172.wav
141160,ff1010bird,0,Data/141160.wav
78780,ff1010bird,0,Data/78780.wav
111051,ff1010bird,0,Data/111051.wav
131873,ff1010bird,0,Data/131873.wav
30414,ff1010bird,0,Data/30414.wav
172442,ff1010bird,0,Data/172442.wav
125073,ff1010bird,0,Data/125073.wav
58264,ff1010bird,0,Data/58264.wav
44186,ff1010bird,0,Data/44186.wav
161888,ff1010bird,0,Data/161888.wav
115701,ff1010bird,0,Data/115701.wav
126856,ff1010bird,0,Data/126856.wav
13791,ff1010bird,1,Data/13791.wav
44570,ff1010bird,1,Data/44570.wav
89062,ff1010bird,1,Data/89062.wav
144343,ff1010bird,1,Data/144343.wav
170338,ff1010bird,0,Data/170338.wav
182399,ff1010bird,0,Data/182399.wav
155048,ff1010bird,0,Data/155048.wav
72696,ff1010bird,1,Data/72696.wav
57798,ff1010bird,1,Data/57798.wav
123440,ff1010bird,0,Data/123440.wav
149253,ff1010bird,0,Data/149253.wav
54856,ff1010bird,0,Data/54856.wav
39658,ff1010bird,0,Data/39658.wav
50933,ff1010bird,0,Data/50933.wav
73542,ff1010bird,1,Data/73542.wav
156597,ff1010bird,0,Data/156597.wav
23538,ff1010bird,0,Data/23538.wav
128044,ff1010bird,0,Data/128044.wav
191740,ff1010bird,0,Data/191740.wav
164828,ff1010bird,0,Data/164828.wav
